ID,DeltaGexp,m1750p4250,m1250p4250,m0750p4250,m0250p4250,p0250p4250,p0750p4250,p1250p4250,p1750p4250,m2250p3750,m1750p3750,m1250p3750,m0750p3750,m0250p3750,p0250p3750,p0750p3750,p1250p3750,p1750p3750,p2250p3750,m2750p3250,m2250p3250,m1750p3250,m1250p3250,m0750p3250,m0250p3250,p0250p3250,p0750p3250,p1250p3250,p1750p3250,p2250p3250,p2750p3250,m2750p2750,m2250p2750,m1750p2750,m1250p2750,m0750p2750,m0250p2750,p0250p2750,p0750p2750,p1250p2750,p1750p2750,p2250p2750,p2750p2750,m2750p2250,m2250p2250,m1750p2250,m1250p2250,m0750p2250,m0250p2250,p0250p2250,p0750p2250,p1250p2250,p1750p2250,p2250p2250,p2750p2250,p3250p2250,m2750p1750,m2250p1750,m1750p1750,m1250p1750,m0750p1750,m0250p1750,p0250p1750,p0750p1750,p1250p1750,p1750p1750,p2250p1750,p2750p1750,p3250p1750,m2750p1250,m2250p1250,m1750p1250,m1250p1250,m0750p1250,m0250p1250,p0250p1250,p0750p1250,p1250p1250,p1750p1250,p2250p1250,p2750p1250,p3250p1250,m2750p0750,m2250p0750,m1750p0750,m1250p0750,m0750p0750,m0250p0750,p0250p0750,p0750p0750,p1250p0750,p1750p0750,p2250p0750,p2750p0750,m2250p0250,m1750p0250,m1250p0250,m0750p0250,m0250p0250,p0250p0250,p0750p0250,p1250p0250,p1750p0250,p2250p0250,m2250m0250,m1750m0250,m1250m0250,m0750m0250,m0250m0250,p0250m0250,p0750m0250,p1250m0250,p1750m0250,p2250m0250,m2750m0750,m2250m0750,m1750m0750,m1250m0750,m0750m0750,m0250m0750,p0250m0750,p0750m0750,p1250m0750,p1750m0750,p2250m0750,p2750m0750,m3250m1250,m2750m1250,m2250m1250,m1750m1250,m1250m1250,m0750m1250,m0250m1250,p0250m1250,p0750m1250,p1250m1250,p1750m1250,p2250m1250,p2750m1250,m3250m1750,m2750m1750,m2250m1750,m1750m1750,m1250m1750,m0750m1750,m0250m1750,p0250m1750,p0750m1750,p1250m1750,p1750m1750,p2250m1750,p2750m1750,m3250m2250,m2750m2250,m2250m2250,m1750m2250,m1250m2250,m0750m2250,m0250m2250,p0250m2250,p0750m2250,p1250m2250,p1750m2250,p2250m2250,p2750m2250,m2750m2750,m2250m2750,m1750m2750,m1250m2750,m0750m2750,m0250m2750,p0250m2750,p0750m2750,p1250m2750,p1750m2750,p2250m2750,p2750m2750,m2750m3250,m2250m3250,m1750m3250,m1250m3250,m0750m3250,m0250m3250,p0250m3250,p0750m3250,p1250m3250,p1750m3250,p2250m3250,p2750m3250,m2250m3750,m1750m3750,m1250m3750,m0750m3750,m0250m3750,p0250m3750,p0750m3750,p1250m3750,p1750m3750,p2250m3750,m1750m4250,m1250m4250,m0750m4250,m0250m4250,p0250m4250,p0750m4250,p1250m4250,p1750m4250
01_001_Zr,1.37057E+00,0.157,0.3,0.5379999999999999,0.9229999999999999,1.011,0.9420000000000001,0.7709999999999999,0.225,0.312,0.6779999999999999,0.889,1.178,1.494,1.608,1.5330000000000001,1.2670000000000001,0.552,-0.22,0.221,0.747,1.111,1.272,1.544,1.7890000000000001,1.881,1.819,1.608,1.153,0.33299999999999996,-0.222,0.434,0.9940000000000001,1.3030000000000002,1.45,1.675,1.911,1.9969999999999999,1.944,1.7469999999999999,1.339,0.6829999999999999,0.12,0.503,1.031,1.3330000000000002,1.4809999999999999,1.6640000000000001,1.8969999999999998,1.9809999999999999,1.9280000000000002,1.7280000000000002,1.317,0.775,0.3,-0.28800000000000003,0.344,0.925,1.25,1.392,1.511,1.739,1.828,1.7719999999999998,1.558,1.117,0.725,0.267,-0.33299999999999996,-0.455,0.539,0.981,1.1420000000000001,1.186,1.3780000000000001,1.5,1.422,1.1440000000000001,0.8059999999999999,0.536,0.0,-0.517,-1.155,-0.426,0.32799999999999996,0.633,0.633,0.544,0.6779999999999999,0.669,0.561,0.419,0.09699999999999999,-0.28,-1.053,-0.706,-0.37200000000000005,-0.33299999999999996,-0.536,-0.539,-0.325,-0.256,-0.47200000000000003,-0.391,-0.391,-0.47200000000000003,-0.256,-0.325,-0.539,-0.536,-0.33299999999999996,-0.37200000000000005,-0.703,-1.053,-0.28,0.09699999999999999,0.419,0.561,0.669,0.6779999999999999,0.544,0.633,0.633,0.331,-0.426,-1.1640000000000001,-0.517,0.0,0.536,0.8059999999999999,1.1440000000000001,1.422,1.5,1.3780000000000001,1.186,1.1420000000000001,0.981,0.539,-0.455,-0.33299999999999996,0.267,0.725,1.117,1.558,1.7719999999999998,1.828,1.742,1.511,1.392,1.25,0.925,0.344,-0.28800000000000003,0.3,0.775,1.317,1.7280000000000002,1.9280000000000002,1.9809999999999999,1.8969999999999998,1.6640000000000001,1.4809999999999999,1.3330000000000002,1.031,0.503,0.12,0.6829999999999999,1.339,1.7469999999999999,1.944,1.9969999999999999,1.911,1.675,1.45,1.3030000000000002,0.9940000000000001,0.434,-0.222,0.33299999999999996,1.153,1.608,1.819,1.881,1.7890000000000001,1.544,1.272,1.111,0.7440000000000001,0.221,-0.22,0.552,1.2670000000000001,1.5330000000000001,1.608,1.494,1.178,0.889,0.675,0.308,0.225,0.7709999999999999,0.9420000000000001,1.011,0.9229999999999999,0.5379999999999999,0.3,0.157
01_002_Zr,-7.72994E-01,0.14300000000000002,0.37799999999999995,0.493,0.414,0.414,0.493,0.37799999999999995,0.14300000000000002,0.161,0.608,0.9470000000000001,1.033,0.975,0.975,1.033,0.9470000000000001,0.608,0.16699999999999998,0.0,0.488,1.025,1.275,1.344,1.294,1.294,1.344,1.275,1.025,0.488,0.0,-0.345,0.703,1.183,1.4169999999999998,1.492,1.439,1.439,1.492,1.4169999999999998,1.183,0.706,-0.345,-0.4,0.706,1.183,1.4169999999999998,1.492,1.442,1.442,1.492,1.4169999999999998,1.183,0.708,-0.4,-1.12,-0.406,0.467,1.025,1.278,1.358,1.3,1.3,1.358,1.278,1.025,0.469,-0.40299999999999997,-1.05,-0.522,0.094,0.642,0.956,1.044,0.983,0.983,1.044,0.953,0.642,0.094,-0.522,-1.075,-1.3940000000000001,-0.21100000000000002,0.11699999999999999,0.34700000000000003,0.428,0.292,0.292,0.428,0.342,0.114,-0.214,-1.3940000000000001,-0.986,-0.344,-0.18600000000000003,-0.256,-0.442,-0.442,-0.256,-0.18899999999999997,-0.344,-0.986,-0.986,-0.344,-0.18600000000000003,-0.256,-0.442,-0.442,-0.256,-0.18899999999999997,-0.344,-0.986,-1.3940000000000001,-0.21100000000000002,0.11699999999999999,0.34700000000000003,0.428,0.292,0.292,0.428,0.342,0.114,-0.214,-1.3940000000000001,-1.075,-0.522,0.094,0.642,0.956,1.044,0.983,0.983,1.044,0.953,0.642,0.094,-0.522,-1.05,-0.406,0.467,1.025,1.278,1.358,1.3,1.3,1.358,1.278,1.025,0.469,-0.40299999999999997,-1.12,-0.4,0.706,1.183,1.4169999999999998,1.492,1.442,1.442,1.492,1.4169999999999998,1.183,0.708,-0.4,-0.345,0.703,1.183,1.4169999999999998,1.492,1.439,1.439,1.492,1.4169999999999998,1.183,0.706,-0.345,0.0,0.488,1.025,1.275,1.344,1.294,1.294,1.344,1.275,1.025,0.488,0.0,0.161,0.608,0.9470000000000001,1.033,0.975,0.975,1.033,0.9470000000000001,0.608,0.16699999999999998,0.14300000000000002,0.37799999999999995,0.493,0.414,0.414,0.493,0.37799999999999995,0.14300000000000002
01_003_Zr,8.80496E-01,0.373,0.618,0.631,0.63,0.638,0.664,0.611,0.373,0.395,0.8420000000000001,1.169,1.2890000000000001,1.2109999999999999,1.192,1.264,1.169,0.847,0.41600000000000004,0.013999999999999999,0.715,1.242,1.483,1.575,1.514,1.5,1.567,1.4809999999999999,1.242,0.721,0.043,-0.259,0.917,1.3940000000000001,1.625,1.6969999999999998,1.65,1.642,1.694,1.619,1.389,0.925,-0.278,-0.23600000000000002,0.903,1.383,1.619,1.692,1.6440000000000001,1.639,1.686,1.614,1.383,0.914,-0.23600000000000002,-0.988,-0.278,0.644,1.217,1.472,1.544,1.4969999999999999,1.492,1.536,1.4669999999999999,1.217,0.653,-0.28300000000000003,-0.9420000000000001,-0.525,0.2,0.7859999999999999,1.136,1.2329999999999999,1.172,1.1640000000000001,1.2329999999999999,1.136,0.8029999999999999,0.20600000000000002,-0.622,-2.591,-1.65,-0.192,0.172,0.45799999999999996,0.556,0.41100000000000003,0.40299999999999997,0.5579999999999999,0.461,0.175,-0.20800000000000002,-1.694,-1.3359999999999999,-0.436,-0.231,-0.297,-0.5,-0.503,-0.297,-0.233,-0.444,-1.3719999999999999,-1.3359999999999999,-0.436,-0.231,-0.297,-0.5,-0.503,-0.3,-0.233,-0.444,-1.3719999999999999,-1.65,-0.192,0.172,0.45799999999999996,0.556,0.41100000000000003,0.40299999999999997,0.5579999999999999,0.461,0.175,-0.20800000000000002,-1.694,-2.693,-0.525,0.2,0.7859999999999999,1.136,1.2329999999999999,1.172,1.1640000000000001,1.2329999999999999,1.136,0.8029999999999999,0.20600000000000002,-0.622,-0.9,-0.278,0.644,1.217,1.472,1.544,1.5,1.492,1.536,1.4669999999999999,1.217,0.653,-0.28300000000000003,-0.95,-0.239,0.903,1.383,1.619,1.692,1.6440000000000001,1.639,1.686,1.614,1.383,0.914,-0.23600000000000002,-0.259,0.917,1.3940000000000001,1.625,1.6969999999999998,1.65,1.642,1.694,1.619,1.389,0.925,-0.267,0.0,0.715,1.242,1.483,1.575,1.514,1.5,1.567,1.4809999999999999,1.242,0.7240000000000001,0.043,0.395,0.8420000000000001,1.169,1.2890000000000001,1.2109999999999999,1.192,1.264,1.169,0.847,0.41600000000000004,0.373,0.618,0.631,0.633,0.6409999999999999,0.664,0.611,0.373
01_004_Zr,2.02075E+00,0.344,0.604,0.6559999999999999,1.1059999999999999,1.983,2.358,2.5140000000000002,2.508,0.415,0.847,1.158,1.2329999999999999,1.597,2.247,2.5639999999999996,2.697,2.697,2.5610000000000004,0.188,0.72,1.239,1.475,1.5330000000000001,1.756,2.314,2.611,2.747,2.7439999999999998,2.608,2.311,-0.07400000000000001,0.9359999999999999,1.392,1.614,1.683,1.7309999999999999,2.1919999999999997,2.519,2.65,2.65,2.517,2.1830000000000003,-0.212,0.9329999999999999,1.383,1.6030000000000002,1.6780000000000002,1.633,1.883,2.256,2.411,2.411,2.253,1.786,0.95,-0.33299999999999996,0.6779999999999999,1.222,1.464,1.5330000000000001,1.483,1.525,1.7280000000000002,1.925,1.925,1.556,0.392,-0.767,-0.611,0.19399999999999998,0.825,1.136,1.228,1.1440000000000001,1.153,1.228,1.136,0.85,0.26899999999999996,-0.433,-2.8169999999999997,-1.936,-0.228,0.175,0.469,0.564,0.397,0.325,0.489,0.40299999999999997,0.172,-0.14400000000000002,-1.5030000000000001,-1.422,-0.414,-0.21100000000000002,-0.261,-0.469,-0.49700000000000005,-0.314,-0.225,-0.425,-1.294,-1.508,-0.45799999999999996,-0.275,-0.322,-0.503,-0.467,-0.261,-0.203,-0.381,-1.2329999999999999,-1.964,-0.256,0.11900000000000001,0.392,0.456,0.303,0.431,0.556,0.456,0.21899999999999997,-0.11900000000000001,-1.475,-1.68,-0.56,0.41100000000000003,0.9109999999999999,1.119,1.167,1.103,1.206,1.25,1.131,0.7609999999999999,0.233,-0.428,0.05,1.022,1.7280000000000002,1.847,1.767,1.567,1.453,1.544,1.589,1.4780000000000002,1.2,0.581,-0.203,1.439,1.944,2.211,2.283,2.2359999999999998,1.992,1.653,1.694,1.733,1.636,1.383,0.847,-0.21100000000000002,2.211,2.4419999999999997,2.5140000000000002,2.4530000000000003,2.247,1.8419999999999999,1.706,1.744,1.65,1.4,0.872,-0.293,2.283,2.5140000000000002,2.6,2.539,2.339,1.9280000000000002,1.594,1.625,1.525,1.256,0.645,-0.525,2.4530000000000003,2.536,2.469,2.261,1.825,1.3330000000000002,1.328,1.219,0.877,0.493,2.322,2.256,2.017,1.453,0.718,0.6940000000000001,0.638,0.45399999999999996
01_005_Zr,2.84876E+00,0.24,0.469,0.547,1.615,2.281,2.5580000000000003,2.65,2.594,0.37,0.7559999999999999,1.058,1.225,2.019,2.517,2.75,2.847,2.783,2.5860000000000003,0.244,0.7140000000000001,1.181,1.4,1.506,2.097,2.575,2.803,2.897,2.8360000000000003,2.6439999999999997,2.2359999999999998,0.245,0.9470000000000001,1.3559999999999999,1.5530000000000002,1.6030000000000002,1.9580000000000002,2.467,2.7110000000000003,2.792,2.739,2.536,2.1109999999999998,-0.135,0.972,1.3719999999999999,1.569,1.6,1.706,2.1719999999999997,2.464,2.5610000000000004,2.497,2.253,1.431,0.008,-0.386,0.7829999999999999,1.242,1.45,1.506,1.4780000000000002,1.6669999999999998,1.936,2.081,1.9780000000000002,1.4,0.147,-0.5920000000000001,-0.633,0.244,0.889,1.156,1.217,1.156,1.2329999999999999,1.275,1.194,0.828,0.275,-0.26899999999999996,-0.813,-0.843,-0.317,0.183,0.519,0.619,0.436,0.406,0.536,0.42200000000000004,0.217,-0.1,-0.5589999999999999,-0.9329999999999999,-0.456,-0.256,-0.26899999999999996,-0.478,-0.525,-0.314,-0.228,-0.4,-1.126,-1.126,-0.397,-0.228,-0.314,-0.525,-0.478,-0.26899999999999996,-0.256,-0.456,-0.9329999999999999,-0.5589999999999999,-0.1,0.217,0.42200000000000004,0.536,0.406,0.436,0.619,0.519,0.183,-0.317,-0.838,-0.813,-0.26899999999999996,0.275,0.828,1.194,1.275,1.2329999999999999,1.156,1.217,1.156,0.889,0.244,-0.633,-0.5920000000000001,0.147,1.4,1.9780000000000002,2.081,1.936,1.6669999999999998,1.4780000000000002,1.506,1.45,1.242,0.7829999999999999,-0.386,0.0,1.431,2.253,2.497,2.5610000000000004,2.464,2.1719999999999997,1.706,1.6,1.569,1.3719999999999999,0.972,-0.135,2.1109999999999998,2.536,2.739,2.792,2.7110000000000003,2.467,1.9580000000000002,1.6030000000000002,1.5530000000000002,1.3559999999999999,0.9470000000000001,0.245,2.2359999999999998,2.6439999999999997,2.8360000000000003,2.897,2.803,2.575,2.097,1.506,1.4,1.181,0.7140000000000001,0.244,2.5860000000000003,2.783,2.847,2.75,2.517,2.022,1.225,1.058,0.7559999999999999,0.37,2.594,2.65,2.5580000000000003,2.281,1.615,0.547,0.469,0.24
01_006_Zr,2.84876E+00,0.24,1.17,2.303,2.725,2.917,2.964,2.886,2.697,0.4,0.772,1.1440000000000001,1.906,2.461,2.708,2.8169999999999997,2.853,2.7969999999999997,2.636,0.23,0.74,1.2,1.411,1.564,2.131,2.575,2.806,2.897,2.839,2.661,2.639,0.155,0.978,1.3719999999999999,1.564,1.614,1.953,2.456,2.697,2.781,2.725,2.553,2.519,-0.133,1.0,1.386,1.575,1.625,1.692,2.136,2.439,2.519,2.469,2.2640000000000002,2.225,2.164,-0.33899999999999997,0.8029999999999999,1.256,1.469,1.5219999999999998,1.472,1.625,1.881,1.9969999999999999,1.889,1.492,1.597,1.575,-0.5760000000000001,0.303,0.922,1.181,1.2309999999999999,1.161,1.219,1.247,1.136,0.7559999999999999,0.256,-0.10300000000000001,-0.267,-0.757,-0.258,0.231,0.556,0.631,0.447,0.381,0.506,0.4,0.18600000000000003,-0.142,-0.5529999999999999,-0.867,-0.40299999999999997,-0.217,-0.23600000000000002,-0.46399999999999997,-0.5329999999999999,-0.331,-0.247,-0.47200000000000003,-1.228,-1.285,-0.469,-0.242,-0.32799999999999996,-0.5329999999999999,-0.467,-0.239,-0.225,-0.41100000000000003,-0.8809999999999999,-0.542,-0.128,0.19699999999999998,0.4,0.506,0.381,0.444,0.631,0.5529999999999999,0.228,-0.272,-0.7859999999999999,-0.643,-0.149,0.242,0.758,1.1420000000000001,1.247,1.219,1.156,1.2309999999999999,1.181,0.919,0.3,-0.591,1.5319999999999998,1.575,1.483,1.892,2.0140000000000002,1.886,1.642,1.4780000000000002,1.517,1.464,1.256,0.8029999999999999,-0.358,2.1719999999999997,2.231,2.269,2.469,2.533,2.444,2.156,1.703,1.617,1.575,1.386,1.0,-0.042,2.531,2.5610000000000004,2.733,2.7939999999999996,2.717,2.475,1.9780000000000002,1.614,1.561,1.3719999999999999,0.978,0.325,2.6639999999999997,2.6689999999999996,2.839,2.9,2.8110000000000004,2.583,2.153,1.575,1.406,1.197,0.737,0.23,2.647,2.806,2.8689999999999998,2.833,2.717,2.4859999999999998,1.942,1.156,0.769,0.395,2.7,2.8939999999999997,2.967,2.931,2.742,2.331,1.216,0.24
01_007_Zr,3.87204E+00,0.42700000000000005,0.6409999999999999,0.6920000000000001,0.753,1.55,2.075,2.2969999999999997,2.347,0.10400000000000001,0.8690000000000001,1.219,1.325,1.358,1.906,2.3169999999999997,2.508,2.5580000000000003,2.467,-0.33899999999999997,0.633,1.258,1.525,1.617,1.6059999999999999,2.008,2.383,2.5669999999999997,2.6,2.533,2.289,0.139,0.9309999999999999,1.411,1.65,1.739,1.692,1.906,2.311,2.506,2.556,2.461,2.214,0.292,0.9079999999999999,1.403,1.639,1.7280000000000002,1.681,1.694,2.061,2.286,2.342,2.233,1.9469999999999998,1.435,0.303,0.6609999999999999,1.225,1.489,1.5919999999999999,1.536,1.4669999999999999,1.614,1.825,1.906,1.7469999999999999,0.9640000000000001,0.41100000000000003,0.247,0.322,0.7859999999999999,1.15,1.25,1.2,1.122,1.206,1.139,0.9390000000000001,0.397,-0.722,-3.293,0.044000000000000004,0.027999999999999997,0.21100000000000002,0.45799999999999996,0.556,0.4,0.33899999999999997,0.494,0.408,0.133,-0.256,-1.861,-0.447,-0.36700000000000005,-0.21100000000000002,-0.303,-0.49700000000000005,-0.483,-0.3,-0.247,-0.442,-0.883,-0.883,-0.442,-0.247,-0.3,-0.48100000000000004,-0.49700000000000005,-0.303,-0.21100000000000002,-0.369,-0.45299999999999996,-1.828,-0.25,0.133,0.406,0.494,0.342,0.4,0.556,0.461,0.214,0.022000000000000002,0.031,-3.3310000000000004,-0.736,0.381,0.9309999999999999,1.139,1.208,1.133,1.197,1.247,1.15,0.792,0.311,0.242,0.337,0.8859999999999999,1.7469999999999999,1.9080000000000001,1.8359999999999999,1.625,1.4780000000000002,1.528,1.5859999999999999,1.486,1.225,0.669,0.303,1.446,1.936,2.2359999999999998,2.347,2.294,2.083,1.7109999999999999,1.672,1.719,1.639,1.403,0.9109999999999999,0.28300000000000003,2.211,2.469,2.5610000000000004,2.517,2.331,1.933,1.689,1.7280000000000002,1.65,1.411,0.9329999999999999,0.128,2.292,2.542,2.6,2.5780000000000003,2.4,2.039,1.611,1.611,1.525,1.256,0.631,-0.37799999999999995,2.469,2.5639999999999996,2.525,2.336,1.933,1.367,1.319,1.217,0.867,0.096,2.367,2.3080000000000003,2.094,1.585,0.7440000000000001,0.7090000000000001,0.6709999999999999,0.387
01_008_Zr,4.79249E+00,0.461,0.653,1.5830000000000002,3.233,3.639,3.8139999999999996,3.842,3.7439999999999998,0.5,0.95,1.236,2.342,3.425,3.781,3.947,3.975,3.867,3.6060000000000003,-0.35600000000000004,0.8390000000000001,1.325,1.5390000000000001,2.4219999999999997,3.408,3.7689999999999997,3.9389999999999996,3.972,3.861,3.594,3.033,0.222,1.061,1.469,1.672,2.119,3.1919999999999997,3.611,3.792,3.822,3.708,3.4139999999999997,2.7439999999999998,0.36700000000000005,1.056,1.464,1.661,1.75,2.492,3.228,3.467,3.503,3.358,2.906,2.186,2.033,0.32799999999999996,0.825,1.3030000000000002,1.5190000000000001,1.589,1.5719999999999998,2.033,2.536,2.625,2.133,1.597,1.6030000000000002,1.5919999999999999,0.289,0.431,0.914,1.192,1.258,1.1640000000000001,1.061,1.092,0.9359999999999999,0.525,0.161,-0.431,-0.85,0.139,0.11699999999999999,0.317,0.5329999999999999,0.586,0.369,0.239,0.353,0.23600000000000002,-0.013999999999999999,-0.49200000000000005,-2.461,-0.28300000000000003,-0.222,-0.111,-0.244,-0.469,-0.49700000000000005,-0.358,-0.32799999999999996,-0.542,-0.958,-0.956,-0.531,-0.325,-0.361,-0.49700000000000005,-0.467,-0.247,-0.114,-0.222,-0.294,-2.364,-0.489,-0.003,0.242,0.35600000000000004,0.239,0.36700000000000005,0.586,0.528,0.317,0.10800000000000001,0.122,-1.008,-0.369,0.175,0.531,0.9359999999999999,1.092,1.067,1.161,1.256,1.194,0.914,0.428,0.281,1.594,1.6059999999999999,1.597,2.133,2.6439999999999997,2.5860000000000003,2.081,1.575,1.581,1.5190000000000001,1.306,0.836,0.331,2.05,2.1919999999999997,2.903,3.372,3.522,3.492,3.2560000000000002,2.533,1.764,1.661,1.464,1.058,0.35600000000000004,2.733,3.4139999999999997,3.7110000000000003,3.8280000000000003,3.8080000000000003,3.628,3.236,2.1919999999999997,1.6640000000000001,1.469,1.067,0.222,3.008,3.592,3.864,3.975,3.958,3.7969999999999997,3.4360000000000004,2.483,1.536,1.3219999999999998,0.8390000000000001,-0.37200000000000005,3.6,3.875,3.989,3.964,3.803,3.45,2.4219999999999997,1.2329999999999999,0.9470000000000001,0.48,3.747,3.861,3.8360000000000003,3.661,3.272,1.751,0.6759999999999999,0.461
01_009_Zr,5.26642E+00,0.40700000000000003,0.643,0.688,0.894,1.806,2.242,2.428,2.467,0.048,0.85,1.208,1.314,1.4609999999999999,2.083,2.456,2.625,2.658,2.5469999999999997,-0.431,0.617,1.256,1.5219999999999998,1.611,1.6669999999999998,2.15,2.503,2.675,2.7,2.6060000000000003,2.333,0.083,0.9309999999999999,1.411,1.65,1.739,1.714,2.039,2.419,2.592,2.625,2.519,2.239,0.233,0.914,1.4080000000000001,1.6440000000000001,1.733,1.681,1.761,2.147,2.353,2.383,2.267,1.9280000000000002,0.797,0.23600000000000002,0.669,1.236,1.5,1.597,1.5390000000000001,1.4969999999999999,1.661,1.864,1.9080000000000001,1.694,0.9309999999999999,0.128,0.172,0.289,0.8170000000000001,1.167,1.2830000000000001,1.214,1.153,1.225,1.147,0.903,0.35600000000000004,0.053,-0.05,-0.025,-0.013999999999999999,0.203,0.48100000000000004,0.603,0.45299999999999996,0.311,0.469,0.389,0.133,-0.133,-0.2,-0.49200000000000005,-0.37799999999999995,-0.20600000000000002,-0.261,-0.47200000000000003,-0.528,-0.38299999999999995,-0.306,-0.47200000000000003,-0.6779999999999999,-0.6779999999999999,-0.47200000000000003,-0.306,-0.38299999999999995,-0.528,-0.47200000000000003,-0.261,-0.20600000000000002,-0.37799999999999995,-0.49200000000000005,-0.19399999999999998,-0.133,0.133,0.389,0.469,0.311,0.45299999999999996,0.603,0.48100000000000004,0.203,-0.013999999999999999,-0.025,-0.05,0.055999999999999994,0.35600000000000004,0.903,1.147,1.225,1.153,1.214,1.2830000000000001,1.167,0.8170000000000001,0.289,0.172,0.133,0.9309999999999999,1.6969999999999998,1.9080000000000001,1.864,1.661,1.4969999999999999,1.5390000000000001,1.597,1.5,1.236,0.669,0.23600000000000002,0.797,1.9280000000000002,2.269,2.383,2.353,2.15,1.764,1.681,1.733,1.6440000000000001,1.4080000000000001,0.914,0.233,2.239,2.519,2.625,2.592,2.419,2.039,1.714,1.739,1.65,1.411,0.9309999999999999,0.083,2.333,2.6060000000000003,2.7,2.675,2.503,2.15,1.6669999999999998,1.611,1.5219999999999998,1.256,0.617,-0.431,2.5469999999999997,2.658,2.628,2.456,2.089,1.4609999999999999,1.314,1.208,0.85,0.048,2.467,2.428,2.242,1.806,0.894,0.688,0.643,0.40700000000000003
01_010_Zr,1.49744E+00,0.175,0.40700000000000003,0.47100000000000003,0.45799999999999996,0.9940000000000001,1.617,1.8780000000000001,1.9669999999999999,0.223,0.586,0.958,1.097,1.056,1.381,1.867,2.092,2.164,2.1109999999999998,-0.05,0.452,1.0,1.272,1.383,1.3530000000000002,1.528,1.942,2.158,2.2,2.164,1.983,-0.516,0.622,1.158,1.411,1.4969999999999999,1.475,1.489,1.8559999999999999,2.081,2.158,2.092,1.9169999999999998,-0.5329999999999999,0.614,1.15,1.4080000000000001,1.4969999999999999,1.469,1.392,1.6030000000000002,1.8559999999999999,1.942,1.867,1.7109999999999999,1.694,-0.49200000000000005,0.361,0.978,1.258,1.369,1.331,1.228,1.294,1.403,1.5,1.386,1.311,1.344,-0.579,0.031,0.5579999999999999,0.922,1.044,1.003,0.883,0.9420000000000001,0.8690000000000001,0.642,0.364,0.539,0.6579999999999999,-0.768,-0.256,0.086,0.308,0.41100000000000003,0.303,0.11699999999999999,0.253,0.21100000000000002,0.031,-0.128,-0.061,-0.736,-0.389,-0.19399999999999998,-0.233,-0.42200000000000004,-0.5,-0.386,-0.308,-0.436,-0.508,-0.508,-0.436,-0.311,-0.386,-0.5,-0.42200000000000004,-0.233,-0.19399999999999998,-0.389,-0.736,-0.061,-0.128,0.031,0.21100000000000002,0.253,0.11699999999999999,0.303,0.41100000000000003,0.308,0.086,-0.256,-0.768,0.653,0.539,0.364,0.642,0.8690000000000001,0.9420000000000001,0.883,1.003,1.044,0.922,0.5579999999999999,0.031,-0.579,1.339,1.311,1.386,1.5,1.403,1.294,1.228,1.331,1.369,1.258,0.978,0.361,-0.49200000000000005,1.692,1.7080000000000002,1.867,1.942,1.8559999999999999,1.6030000000000002,1.392,1.469,1.4969999999999999,1.4080000000000001,1.15,0.614,-0.5329999999999999,1.9169999999999998,2.092,2.158,2.081,1.8559999999999999,1.489,1.475,1.4969999999999999,1.411,1.158,0.622,-0.511,1.983,2.164,2.2,2.158,1.942,1.528,1.3530000000000002,1.383,1.278,1.003,0.455,-0.05,2.1109999999999998,2.164,2.092,1.867,1.381,1.056,1.097,0.9640000000000001,0.589,0.223,1.964,1.8780000000000001,1.617,0.9940000000000001,0.45799999999999996,0.47100000000000003,0.40700000000000003,0.175
